@relation Flowering2016-weka.filters.supervised.instance.StratifiedRemoveFolds-S1-V-N10-F1

@attribute 'Weight Diff' numeric
@attribute 'Hour min' numeric
@attribute 'Hour max' numeric
@attribute 'Dur min' numeric
@attribute 'Dur max' numeric
@attribute Stage {pre-flowering,flowering-stage-1,flowering-stage-2,post-flowering}

@data
-0.116667,7.02439,15.822483,0.334495,4.348432,post-flowering
0.3,16.264808,23.33101,3.763066,1.337979,pre-flowering
-0.2,9.427579,19.333333,7.083333,0,pre-flowering
-0.226667,15.617954,0.355401,3.094077,0.501742,pre-flowering
-0.3,15.072917,0.583333,1.166667,1.083333,pre-flowering
-0.033333,10.567004,22.643836,8.547945,2.054795,flowering-stage-2
0.26,7.098592,22.56338,0.338028,1.183099,flowering-stage-2
0.75,9.324042,22.581281,0.418118,2.425087,flowering-stage-2
-0.066667,11.576396,22.027397,4.191781,0.328767,flowering-stage-2
0.5,8.278746,23.038328,0.66899,1.923345,flowering-stage-2
0.18,6.929577,22.521127,0.169014,0.929577,flowering-stage-2
0.6,11.91339,22.536585,2.341463,1.923345,flowering-stage-1
0.2,13.351916,21.240418,0.585366,2.174216,flowering-stage-1
0.5,12.079823,21.993031,3.679443,4.013937,flowering-stage-1
0.9,12.919861,22.420441,0.083624,0.752613,flowering-stage-1
0.6,12.913043,21.608696,1.130435,2.347826,flowering-stage-1
0.5,11.606392,22.745645,5.351916,2.508711,flowering-stage-1
0.333333,12.501742,21.913487,0.585366,3.428571,flowering-stage-1
0.5,13.168741,21.365854,2.926829,1.756098,flowering-stage-1
1.2,12.301974,22.41115,2.843206,1.003484,flowering-stage-1
0.31,11.247387,21.996921,2.090592,3.679443,flowering-stage-1
0.333333,15.010453,22.290941,0.083624,2.675958,flowering-stage-1
0.3,14.174216,23.33101,2.592334,0.167247,flowering-stage-1
0.7,10.082628,22.494774,1.170732,1.170732,flowering-stage-1
0.7,11.509859,20.873239,1.43662,0.169014,flowering-stage-1
0.3,11.464748,21.323741,1.553957,1.381295,flowering-stage-1
-0.04,7.02439,16.222997,0.334495,0,post-flowering
0.003333,7.02439,17.750523,0.334495,8.278746,post-flowering
-0.116667,7.225352,15.283255,0.422535,2.788732,post-flowering
0.133333,8.951536,15.724352,4.181185,2.25784,pre-flowering
0.2,12.292683,19.860627,0.501742,3.763066,pre-flowering
0.196667,6.857143,17.601294,3.84669,5.686411,pre-flowering
-0.1,18.174216,2.090592,7.108014,0,pre-flowering
0.3,6.965035,22.951049,0,2.097902,flowering-stage-2
0.3,9.765389,22.133764,0.836237,3.930314,flowering-stage-2
0.5,8.404181,22.829268,0.250871,2.341463,flowering-stage-2
0.316667,9.573214,22.616327,1.371429,1.542857,flowering-stage-2
0.2,10.338462,22.657343,8.475524,0.335664,flowering-stage-2
0.7,9.146853,22.909091,1.51049,2.181818,flowering-stage-2
0.4,12.354244,21.745104,0.088561,2.302583,flowering-stage-1
0.5,12.961672,21.285714,0,2.006969,flowering-stage-1
0.566667,12.89011,22.028571,2.4,3.6,flowering-stage-1
0.84,13.043478,22.565217,0.695652,2.869565,flowering-stage-1
0.3,12.627178,21.835341,0.66899,3.010453,flowering-stage-1
0.3,12.630996,22.361624,3.188192,3.276753,flowering-stage-1
0.6,10.954704,22.311847,1.337979,2.006969,flowering-stage-1
0.666667,10.996516,20.627178,0.418118,1.087108,flowering-stage-1
0.4,10.41115,22.202091,0.418118,0.418118,flowering-stage-1
1.3,10.620209,21.783972,0.501742,0.250871,flowering-stage-1
0.363333,10.369338,22.365013,0.334495,3.763066,flowering-stage-1
0.5,13.12892,22.457607,0.66899,1.505226,flowering-stage-1
-1.73,12,0.272727,3.692308,0.335664,flowering-stage-1
0.1,13.965157,22.149371,0,2.006969,flowering-stage-1
0.183333,11.414634,18.397213,1.087108,4.348432,flowering-stage-1
-0.1,7.191638,16.622532,0.66899,3.094077,post-flowering
0,7.191638,15.38676,0.334495,0.334495,post-flowering
0.1,6.982578,16.818602,0.250871,8.445993,post-flowering
0.1,14.006969,22.119487,1.923345,4.432056,pre-flowering
0.1,11.668492,19.520159,3.428571,1.756098,pre-flowering
-0.1,17.728223,12.482737,0,4.682927,pre-flowering
0,13.854926,18.648084,4.264808,0.752613,pre-flowering
0.4,7.928058,22.402878,4.230216,0.431655,flowering-stage-2
0.5,8.487805,22.829268,1.756098,2.341463,flowering-stage-2
0.4,9.031359,23.080139,1.672474,1.839721,flowering-stage-2
0.5,12.817654,22.202091,1.505226,0.250871,flowering-stage-2
0.37,9.574913,23.534097,0.752613,0.752613,flowering-stage-2
0.3,8.738676,22.515679,2.090592,0.752613,flowering-stage-2
0.566667,11.958188,21.838239,2.006969,3.930314,flowering-stage-1
0.17,14.04878,20.404181,0,0.334495,flowering-stage-1
0.5,11.781649,20.989547,0.836237,1.505226,flowering-stage-1
0.283333,10.327526,16.957027,2.759582,6.020906,flowering-stage-1
0.4,11.151817,22.41115,8.278746,1.337979,flowering-stage-1
0.5,12.219512,21.945993,0.919861,1.337979,flowering-stage-1
0.316667,10.327526,22.707634,0.501742,1.839721,flowering-stage-1
0.75,12.108711,22.536585,1.337979,2.425087,flowering-stage-1
0.56,11.194346,21.010601,2.374558,1.272085,flowering-stage-1
1.183333,10.41115,21.993031,0.585366,0.334495,flowering-stage-1
0.3,12.398524,21.697417,0.354244,2.302583,flowering-stage-1
0.966667,11.121951,22.160279,1.003484,3.344948,flowering-stage-1
0.1,13.990476,22.714286,2.142857,2.571429,flowering-stage-1
0.4,14.132404,22.243902,0.167247,0.334495,flowering-stage-1
0.76,10.859134,22.745645,1.421603,2.508711,flowering-stage-1
-0.12,6.982578,14.56982,0.250871,2.174216,post-flowering
0.4,6.965035,22.951049,0.167832,2.097902,post-flowering
0.083333,7.066202,15.772852,0.250871,4.348432,post-flowering
-0.2,21.666003,15.094077,5.602787,0.083624,pre-flowering
-0.2,18.293706,9.86014,4.447552,1.174825,pre-flowering
-0.1,18.480836,15.1777,0,0.250871,pre-flowering
0,11.707317,18.209059,0.66899,4.933798,pre-flowering
0.166667,10.388811,22.878576,1.51049,2.181818,flowering-stage-2
0.033333,7.068493,22.60274,0.164384,1.643836,flowering-stage-2
0.533333,9.533101,22.87108,0.334495,1.58885,flowering-stage-2
0.683333,9.74216,23.121951,0.250871,1.839721,flowering-stage-2
0.7,7.275261,22.243902,0.334495,0,flowering-stage-2
0.12,7.056338,21.507042,0.422535,7.43662,flowering-stage-2
0.183333,10.707815,22.327526,1.756098,1.672474,flowering-stage-1
-0.06,10.909091,20.769231,1.174825,1.426573,flowering-stage-1
0.8,11.581882,22.034843,1.421603,3.930314,flowering-stage-1
1,11.874564,22.202091,0,1.756098,flowering-stage-1
0.6,11.832753,21.427938,2.090592,3.010453,flowering-stage-1
0.46,8.957027,22.703833,3.010453,2.592334,flowering-stage-1
0.5,12.094406,22.78022,0.755245,2.685315,flowering-stage-1
0.8,11.581882,22.327526,0.919861,1.003484,flowering-stage-1
0.5,10.927825,22.87108,3.428571,2.25784,flowering-stage-1
-0.1,10.834187,4.212757,2.843206,8.195122,flowering-stage-1
0.5,11.623693,21.324042,0,1.170732,flowering-stage-1
0.08,17.310105,21.156794,0.167247,1.672474,flowering-stage-1
0.32,11.244755,21.734266,1.846154,3.188811,flowering-stage-1
0,13.714286,20.445993,0,0.418118,flowering-stage-1
0.62,11.243206,21.700348,1.672474,0.418118,flowering-stage-1
0.06,7.02439,16.901278,0.167247,2.090592,post-flowering
-0.116667,7.108014,15.972125,0.167247,0.501742,post-flowering
